id,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards,artwork_url,style,image_genre,object,color,tone,composition,intro_url
0544,Aleksander Mikhailovich Rodchenko,Russian,Constructivism||Productivism||Suprematism||Cubism||Futurism,1891/12/5,1956/12/3,64,19th-20th,Sagittarius,Russian,St. Petersburg,Europe,Russian,Moscow,Photography||Graphic Design||Sculpture||Painting,,Married,RABIS/VKhUTEMAS/VKhUTEIN,0,0,https://uploads3.wikiart.org/images/alexander-rodchenko/stairway-1930.jpg!PinterestSmall.jpg,Constructivism,Street Photography,"Person, Shadows",Black And White,Dark,Geometric,https://www.wikiart.org/en/alexander-rodchenko/stairway-1930
0545,Mahmoud Farshchian,Iranian,,1930/1/24,,,,Aquarius,Iran,Isfahan,Asia,,,Painting||Sculpture,Miniature,,"Isfahan High School for the Fine Arts, University of Tehran's School of Fine Arts",0,0,https://uploads2.wikiart.org/images/mahmoud-farshchian/pleasure-and-pain-1990.jpg!PinterestSmall.jpg,Kitsch,Portrait,Two Dancing Figures,Pastel Tones,Bright,Dynamic,https://www.wikiart.org/en/mahmoud-farshchian/pleasure-and-pain-1990
0546,Bracha Lichtenberg Ettinger,Israeli,,1948/3/23,,,,Aries,Israel,Tel Aviv,Asia,,,Painting||Drawing||Photography,,,,0,0,https://uploads4.wikiart.org/images/bracha-ettinger/eurydice-n-47-2006.jpg!PinterestSmall.jpg,New European Painting,,,Purple,Dark,Horizontal Layers,https://www.wikiart.org/en/bracha-l-ettinger/eurydice-n-47-2006
0547,Tamara ?empicka||Tamara de Lempicka||Maria Górska,Polish,Art Deco,1898/5/16,1980/3/18,81,19th-20th,Taurus,Russia||Russian Empire,Warsaw,Europe,Mexico,,Painting,Portrait||Nude,,,0,0,https://uploads5.wikiart.org/00295/images/tamara-de-lempicka/kizette-in-pink-1926.jpg!PinterestSmall.jpg,Art Deco,Portrait,Person With A Book,Neutral Tones,Muted,Geometric,https://www.wikiart.org/en/tamara-de-lempicka/kizette-in-pink-1926
0548,Michel Majerus,Luxembourgers,,可以的可以的可以,,,,,Luxembourgers,Esch-sur-Alzette,Europe,,,Painting,,,,0,0,https://uploads4.wikiart.org/00317/images/michel-majerus/untitled-2002.jpg!PinterestSmall.jpg,Neo-Expressionism,,,"Pink, Green, Yellow",Bright,"Dynamic, Intersecting Lines",https://www.wikiart.org/en/michel-majerus/untitled-2002
0549,Carlos Orozco Romero,Mexican,Mexican muralism,1896/9/3,1984/3/29,87,19th-20th,Virgo,Mexico,Guadalajara,South America,Mexico,,Cartoonist||Painter,,Married,,0,1,https://uploads4.wikiart.org/images/carlos-orozco-romero/lago-de-patzcuaro-1945.jpg!PinterestSmall.jpg,Magic Realism,Landscape,"Mountains, Lake",Blue,Soft,Horizontal,https://www.wikiart.org/en/carlos-orozco-romero/lago-de-patzcuaro-1945
0550,Gustav Metzger,Stateless,Auto-Destructive Art||Art Strike,1926/4/10,2017/3/1,90,20th-21st,Libra,Germany,Nuremberg,Europe,,,Art,Installation||Political Art,,Royal Academy of Fine Arts,0,0,https://uploads1.wikiart.org/images/gustav-metzger/null-object-2012.jpg!PinterestSmall.jpg,Conceptual Art,Sculpture,Cube With Hole,Brown,Neutral,Symmetrical,https://www.wikiart.org/en/gustav-metzger/null-object-2012
0551,Fu Baoshi,Chinese,New Chinese Painting Movement||New Jinling School of Fine Arts,1905/3/18,1905/5/18,61,20th,,China,Xinyu,Asia,,,Painting,Landscape||Figures,,Tokyo School of Fine Arts,0,0,https://uploads5.wikiart.org/images/fu-baoshi/electric-power-lines-1954.jpg!PinterestSmall.jpg,Ink and wash painting,Landscape,"Power Lines, Hills",Earth Tones,Neutral,Diagonal,https://www.wikiart.org/en/fu-baoshi/electric-power-lines-1954
0552,Frank Eugene,American,Photo-Secession,1865/9/19,1936/12/16,71,19th-20th,Virgo,United States,New York City,North America,Germany,,Photography||Drawing,,,City College of New York||Bavarian Academy of Fine Arts,0,0,https://uploads4.wikiart.org/images/frank-eugene/rebecca-1910.jpg!PinterestSmall.jpg,Pictorialism,Portrait,"Figure, Cherubs",Sepia,Dark,Central Figure,https://www.wikiart.org/en/frank-eugene/rebecca-1910
0553,Sherrie Levine,American,Appropriation art||Postmodernism,1947/4/17,,,,Aries,America,Hazleton,North America,,,Photography||Painting||Conceptual art,,,,0,0,https://uploads1.wikiart.org/images/sherrie-levine/lead-knot-7-1988.jpg!PinterestSmall.jpg,Abstract Expressionism,Non-Representational,Shapes,Beige/Brown,Neutral,Minimalist Arrangement,https://www.wikiart.org/en/sherrie-levine/lead-knot-7-1988
0554,John Hilliard,British,Conceptual,1905/4/28,,,,Taurus,Britain,Lancaster,Europe,,,Photography,Conceptual Art||Visual Arts,,,0,0,https://uploads7.wikiart.org/images/john-hilliard/the-artist-circulates-amongst-curators-journalists-technicians-and-her-colleagues-2005.jpg!PinterestSmall.jpg,Conceptual Art,Portrait,People,Neutral Tones,Soft,Layered,https://www.wikiart.org/en/john-hilliard/the-artist-circulates-amongst-curators-journalists-technicians-and-her-colleagues-2005
0555,Naum Gabo,Russian,Constructivism||Cubism||Futurism,1890/8/5,1977/8/23,87,19th-20th,Leo,Russian,Bryansk,Europe,America,,Sculpture,Abstract,,,0,1,https://uploads2.wikiart.org/images/naum-gabo/model-for-torsion-1928.jpg!PinterestSmall.jpg,Kinetic Art,Sculpture,Geometric Shape,Neutral,Light,Three-Dimensional,https://www.wikiart.org/en/naum-gabo/model-for-torsion-1928
0556,Jorge Pardo,Cuban-American,,1905/5/16,,,,,Cuba,Havana,North America,,,Sculpture||Painting||Architecture||Design,,,University of Illinois at Chicago||Art Center College of Design,0,0,https://uploads4.wikiart.org/images/jorge-prado/untitled-2014.jpg!PinterestSmall.jpg,Post-Minimalism,Installation,Hanging Lights,Warm Hues,Bright,Asymmetrical,https://www.wikiart.org/en/jorge-prado/untitled-2014
0557,Jacqueline Lamba,French,Surrealism,1910/11/17,1993/7/20,82,20th,Scorpio,France,Saint-Mandé,Europe,France,Rochecorbon,Painting||Draughtsmanship,,Married,,0,0,https://uploads8.wikiart.org/00333/images/jacqueline-lamba/ciel-color-nuages-1975.jpg!PinterestSmall.jpg,Surrealism,Landscape,Clouds,Pastel,Soft,Dynamic Flow,https://www.wikiart.org/en/jacqueline-lamba/ciel-colore-nuages-1975
0558,Philip Howard Francis Dixon Evergood,American,,1905/3/15,1905/5/26,,,,United States,New York City,North America,United States,Bridgewater,Painting||Etching||Lithography||Sculpture||Illustration||Writing,,,Eton||Cambridge University||Slade School||Art Students League of New York||Académie Julian||Atelier 17,0,0,https://uploads0.wikiart.org/00322/images/philip-evergood/self-portrait-of-the-artist-at-age-60-1962.jpeg!PinterestSmall.jpeg,Social Realism,Portrait,Human Head,Black And White,Neutral,Line Drawing,https://www.wikiart.org/en/philip-evergood/self-portrait-of-the-artist-at-age-60-1962
0559,Sir Antony Mark David Gormley,British,,1950/8/30,,,,Virgo,Britain,Hampstead,Europe,,,Sculpture,,Married,,0,0,https://uploads2.wikiart.org/images/antony-gormley/three-places-1983.jpg!PinterestSmall.jpg,Post-Minimalism,Sculpture,Human Figures,Neutral,Subdued,Minimalist,https://www.wikiart.org/en/antony-gormley/three-places-1983
0560,Audrey L. Flack,American,Photorealism||Abstract Expressionism||New Realism,1931/5/30,,,,Gemini,United States,New York City,North America,,,Painting||Sculpture||Photography,Photorealism,,Cooper Union||Yale University||New York University Institute of Fine Arts||High School of Music & Art,0,0,https://uploads3.wikiart.org/images/audrey-flack/chanel-1974.jpg!PinterestSmall.jpg,Photorealism,Still Life,"Perfume Bottles, Lipstick, Jewelry, Apples, Vases",Various,Bright,Balanced,https://www.wikiart.org/en/audrey-flack/chanel-1974
0561,Camilla L?w,Norwegian,,1905/5/29,,,,Gemini,Norway,,Europe,,,Art,,,Glasgow School of Art,0,0,https://uploads1.wikiart.org/00335/images/camilla-low/double-dynamic-2012.jpeg!PinterestSmall.jpeg,Neo-Minimalism,Sculpture,Triangular Shapes,"Multicolored (Black, Blue, Yellow, Red, White)",Neutral,Asymmetrical,https://www.wikiart.org/en/camilla-low/double-dynamic-2012
0562,,Hungarian,,1921/5/26,1985/6/19,64,20th,Gemini,Hungary,,Europe,,,Painting||Graphic Art,,,új Iskola,0,0,https://uploads0.wikiart.org/images/ilka-gedo/woman-at-work-at-a-table-1948.jpg!PinterestSmall.jpg,Expressionism,Still Life,Factory Interior,Brown,Neutral,Balanced,https://www.wikiart.org/en/ilka-gedo/woman-at-work-at-a-table-1948
0563,Nicolae Tonitza,Romanian,Post-impressionism||Expressionism,1886/4/13,1940/2/27,53,19th-20th,Aries,Romania,Barlad,Europe,,,Painting||Engraving||Lithography||Journalism||Art Criticism,,,Ia?i National School of Fine Arts||Royal Academy of Fine Arts,0,0,https://uploads7.wikiart.org/images/nicolae-tonitza/little-girl-with-flowery-headscarf-1925.jpg!PinterestSmall.jpg,Expressionism,Portrait,"Figure, Flower",Warm Colors,Neutral,Centered,https://www.wikiart.org/en/nicolae-tonitza/little-girl-with-flowery-headscarf-1925
0564,Romare Bearden,African-American,Harlem Renaissance,1911/9/2,1988/3/12,77,20th,Aquarius,United States,Charlotte,North America,,,Painting||Collage||Cartoonist||Songwriting,,,Sorbonne||Art Students League||New York University||Lincoln University||Boston University,0,0,https://uploads8.wikiart.org/images/romare-bearden/louisiana-serenade-1979.jpg!PinterestSmall.jpg,Neo-Expressionism,Genre Painting,"People, Musical Instruments",Red,Bright,Balanced,https://www.wikiart.org/en/romare-bearden/louisiana-serenade-1979
0565,Wu Guanzhong,Chinese,Modern Chinese||Fauvism||Impressionism,1919/8/29,2010/6/25,90,20th-21st,Virgo,China,Yixing,Asia,China,Beijing,Painting||Writing,Landscape||Waterscape,,Zhejiang Industrial School||Hangzhou National Academy of Art ||Ecole Nationale Supérieure des Beaux Arts,0,0,https://uploads5.wikiart.org/images/wu-guanzhong/a-fishing-harbour-1991.jpg!PinterestSmall.jpg,Ink and wash painting,Seascape,"Boats, Sea",Black And White,Neutral,Repetitive Pattern,https://www.wikiart.org/en/wu-guanzhong/a-fishing-harbour-1991
0566,Rita Angus,New Zealander,,1908/3/12,1970/1/25,61,20th,Sagittarius,New Zealand,Hastings,Oceania,New Zealand,Wellington,Painting,Portrait||Landscape,,Canterbury College School of Art||Elam School of Fine Arts,0,0,https://uploads6.wikiart.org/00315/images/rita-angus/fay-and-jane-birkinshaw-1938.jpg!PinterestSmall.jpg,Regionalism,Portrait,"Children, Dolls","Green, Red, Blue",Bright,Symmetrical,https://www.wikiart.org/en/rita-angus/fay-and-jane-birkinshaw-1938
0567,Michael Heizer,American,Land Art,1905/4/27,,,,Taurus,United States,Berkeley,North America,,,Sculpture,,,,0,0,https://uploads4.wikiart.org/images/michael-heizer/45-90-180-city-1999.jpg!PinterestSmall.jpg,Environmental (Land) Art,Landscape,Geometric Structures,Earthy Tones,Neutral,Geometric Arrangement,https://www.wikiart.org/en/michael-heizer/45-90-180-city-1999
0568,Méret Elisabeth Oppenheim,German||Swiss,Surrealism,1913/10/6,1985/11/15,72,20th,Libra,Germany,Berlin,Europe,Switzerland,Basel,Surrealist artist||Photography,,,,0,0,https://uploads2.wikiart.org/images/meret-oppenheim/x-ray-of-m-o-s-skull-1964.jpg!PinterestSmall.jpg,Surrealism,Portrait,"Skull, Hand",Black And White,Dark,Side Profile,https://www.wikiart.org/en/meret-oppenheim/x-ray-of-m-o-s-skull-1964
0569,Jacob Lawrence,African-American,Dynamic Cubism,1917/9/7,2000/6/9,83,20th-21st,Cancer,United States,Atlantic City,North America,,,Painting,Modernist||Historical,,University of Washington,0,0,https://uploads6.wikiart.org/images/jacob-lawrence/the-shoemaker-1945(1).jpg!PinterestSmall.jpg,Cubism,Genre Painting,Person Cooking,Blue,Bright,Geometric,https://www.wikiart.org/en/jacob-lawrence/the-shoemaker-1945
0570,Jean Hugo,,Romanticism||Magical Realism||Metaphysical Painting,1894/11/19,1984/6/21,89,19th-20th,Scorpio,France,Paris,Europe,France,Lunel,Painting||Illustration||Theatre Design||Writing,Sketches||Oil Painting||Gouache Painting,,,0,0,https://uploads2.wikiart.org/images/jean-hugo/les-m-tamorphoses-1929.jpg!PinterestSmall.jpg,Surrealism,Figurative,"People, Bird, Dog",Muted Blue And Gray,Neutral,Asymmetrical,https://www.wikiart.org/en/jean-hugo/les-m-tamorphoses-1929
0571,Marino Marini,Italian,,1901/2/27,1980/8/6,79,20th,Pisces,Italy,,Europe,Italy,,Sculpture||Painting,Equestrian||Nudes||Portrait||Circus,,"Accademia di Belle Arti, Florence||Scuola d’Arte di Villa Reale, Monza||Accademia di Belle Arti di Brera, Milan",0,0,https://uploads2.wikiart.org/images/marino-marini/cavaliere-composizione-1956.jpg!PinterestSmall.jpg,Expressionism,Sculpture,Human Figure And Animal,Dark,Neutral,Three-Dimensional,https://www.wikiart.org/en/marino-marini/cavaliere-composizione-1956
0572,Meta Vaux Warrick Fuller,African-American,Harlem Renaissance,1877/6/9,1968/3/18,90,19th-20th,Virgo,United States,Philadelphia,North America,,,Poetry||Painting||Sculpture,Afrocentric,,Pennsylvania Academy of the Fine Arts||Pennsylvania Museum and School of Industrial Art,0,0,https://uploads6.wikiart.org/00315/images/meta-vaux-warrick-fuller/storytime-1961.jpg!PinterestSmall.jpg,Impressionism,Sculpture,Figures Of A Person Reading To Children,Earth Tones,Neutral,Grouped Figures In An Interactive Pose,https://www.wikiart.org/en/meta-vaux-warrick-fuller/storytime-1961
0573,Edmund Charles Tarbell,American,Impressionism,1862/4/26,1938/8/1,76,19th-20th,Taurus,United States,Groton,North America,United States,New Castle,Painting,Portrait,Married,Massachusetts Normal Art School||School of the Museum of Fine Arts||Académie Julian,1,0,https://uploads7.wikiart.org/images/edmund-charles-tarbell/girl-with-sailboat-1899.jpg!PinterestSmall.jpg,Impressionism,Genre Painting,"Child, Toy Sailboat, Water",Blue,Bright,"Dynamic, Centered Figure",https://www.wikiart.org/en/edmund-charles-tarbell/girl-with-sailboat-1899
0574,Sir Peter Thomas Blake,British,Pop Art,1932/6/25,,,,Cancer,United Kingdom,Dartford,Europe,,,Painting||Design,,Divorced,Gravesend Technical College school of art||Royal College of Art,0,0,https://uploads1.wikiart.org/images/peter-blake/on-the-balcony-1957.jpg!PinterestSmall.jpg,Pop Art,Portrait,"People, Photographs, Magazines",Green,Neutral,Collage-Like Arrangement,https://www.wikiart.org/en/peter-blake/on-the-balcony-1957
0575,Georges Henri Rouault,French,Fauvism||Expressionism,1871/5/27,1958/2/13,86,19th-20th,Gemini,France,Paris,Europe,,,Painting||Draughtsmanship||Printing,Religious||Landscape||Still life||Social Criticism,,école des Beaux-Arts,0,0,https://uploads0.wikiart.org/images/georges-rouault/trois-personnages-dans-un-paysage-de-bretagne-1915.jpg!PinterestSmall.jpg,Expressionism,Landscape,"People, Houses, Landscape",Blue,Dark,Centralized,https://www.wikiart.org/en/georges-rouault/trois-personnages-dans-un-paysage-de-bretagne-1915
0576,Lita Albuquerque,American,Light and Space,1905/4/29,,,,Taurus,United States,Santa Monica,North America,,,Installation||Environmental Art||Painting||Sculpture,,,University of California (UCLA)||Otis College of Art and Design,1,4,https://uploads0.wikiart.org/images/lita-albuquerque/aperture-1996.jpg!PinterestSmall.jpg,Post-Minimalism,Architectural,"Architectural Model, Blue Sphere",Beige,Neutral,Symmetrical,https://www.wikiart.org/en/lita-albuquerque/aperture-1996
0577,Sheikh Mohammed Sultan||SM Sultan,Bengali,Avant-garde,1923/8/10,1994/10/10,71,20th,Libra,British India,Machimdia||Jessore,Asia,Bangladesh,,Painting||Drawing,,,Government School of Art,0,0,https://uploads0.wikiart.org/00138/images/sm-sultan/peasants-at-work-1975.jpg!PinterestSmall.jpg,Social Realism,,,,,,https://www.wikiart.org/en/sm-sultan/peasants-at-work-1975
0578,Richard Ernst Eurich,British,,1903/3/13,1992/6/6,89,20th,Pisces,United Kingdom,Bradford,Europe,United Kingdom,Southampton,Painting,Narrative||Panoramic Seascapes,,St George's School||Bradford Grammar School||Bradford School for Arts and Crafts||Slade School of Art,0,0,https://uploads3.wikiart.org/00221/images/richard-eurich/the-rescue-of-the-only-survivor-of-a-torpedoed-ship-1941.jpg!PinterestSmall.jpg,Neo-Romanticism,Landscape,"Boats, Cliffs, Ocean",Earth Tones,Neutral,Diagonal,https://www.wikiart.org/en/richard-eurich/the-rescue-of-the-only-survivor-of-a-torpedoed-ship-1941
0579,Maurizio Cattelan,Italian,,1960/11/21,,,,Scorpio,Italy,Padova,Europe,,,Sculpture,,,,0,0,https://uploads1.wikiart.org/images/maurizio-cattelan/untitled-2009.jpg!PinterestSmall.jpg,Conceptual Art,Still Life,"Canvas, Broom",Neutral Tones,Neutral,"Minimalist, Geometric Arrangement",https://www.wikiart.org/en/maurizio-cattelan/untitled-2009
0580,Frederick Sommer,American,,1905/9/7,1999/1/23,93,20th,Virgo,Italy,Angri,Europe,United States,Prescott,Photography||Collage||Drawing,Still Life||Landscape||Nude||Collage,Married,Cornell University,1,0,https://uploads0.wikiart.org/images/frederick-sommer/hens.jpg!PinterestSmall.jpg,Surrealism,Still Life,"Organic Forms, Eyes",Monochrome (Black And White),Neutral,Asymmetrical,https://www.wikiart.org/en/frederick-sommer/hens
0581,Sam Gilliam,American,Color Field||Abstract Expressionism||Lyrical Abstraction,1933/11/30,,,,Sagittarius,United States,Tupelo,North America,,,Painting||Sculpture,Abstract||Color Field||Lyrical Abstraction,Remarried,Central High School in Louisville||University of Louisville,1,0,https://uploads3.wikiart.org/images/sam-gilliam/april-4-1969.jpg!PinterestSmall.jpg,Lyrical Abstraction,,,Purple,Neutral,Non-Representational,https://www.wikiart.org/en/sam-gilliam/april-4-1969
0582,Glenn Brown,British,,1905/5/19,,,,Taurus,United Kingdom,Hexham,Europe,,,Painting,,,Norwich School of Art & Design||Bath School of Art and Design||Goldsmith's College,0,0,https://uploads4.wikiart.org/images/glenn-brown/mad-love-1991.jpg!PinterestSmall.jpg,Abstract Expressionism,Portrait,Face,"Dark Tones With Accents Of Red, White, And Blue",Dark,Centralized Composition With Swirling Lines And Textures,https://www.wikiart.org/en/glenn-brown/mad-love-1991
0583,Isa Genzken,German,Contemporary,1948/11/27,,,,Sagittarius,Germany,Bad Oldesloe,Europe,,,Sculpture||Installation||Photography||Video||Film||Collage,Architecture||Contemporary ruins,Divorced,Hamburg University of Fine Arts||Berlin University of the Arts||Arts Academy Düsseldorf||University of Cologne,1,0,https://uploads4.wikiart.org/images/isa-genzken/untitled-2012.jpg!PinterestSmall.jpg,Conceptual Art,Installation,Busts On Pedestals,Neutral With Accents Of Turquoise And Red,Neutral,Linear Arrangement,https://www.wikiart.org/en/isa-genzken/untitled-2012
0584,Manuel Neri,American,Bay Area Figurative Movement,1930/4/12,,,,Aries,United States,Sanger,North America,,,Sculpture||Ceramics,Figurative,,San Francisco City College||California College of Arts and Crafts||California School of Fine Arts,1,7,https://uploads2.wikiart.org/images/manuel-neri/figure-with-legs-crossed-1991.jpg!PinterestSmall.jpg,Neo-Expressionism,Sculpture,Human Figure,Blue And Beige,Neutral,"Upright, Balanced",https://www.wikiart.org/en/manuel-neri/figure-with-legs-crossed-1991
0585,Anita Catarina Malfatti,Brazilian,Modernism||Expressionism,1889/12/2,1964/11/6,74,19th-20th,Sagittarius,Brazil,S?o Paulo,Africa,,,Painting,,,Mackenzie College,0,0,https://uploads6.wikiart.org/images/anita-malfatti/o-farol-1915.jpg!PinterestSmall.jpg,Expressionism,Landscape,"Lighthouse, Houses",Earth Tones,Bright,Balanced,https://www.wikiart.org/en/anita-malfatti/o-farol-1915
0586,Arshile Gorky,Armenian-American,Abstract Expressionism,1904/4/15,1948/7/21,44,20th,Aries,Ottoman Empire,Khorgom (today's Dilkaya),Asia,,,Painting,,,"New School of Design, Grand Central School of Art",0,0,https://uploads5.wikiart.org/images/arshile-gorky/one-year-the-milkweed.jpg!PinterestSmall.jpg,Abstract Expressionism,,,Green,Bright,Dynamic,https://www.wikiart.org/en/arshile-gorky/one-year-the-milkweed-1944-1
0587,Jiro Yoshihara,Japanese,Surrealism||Abstract Expressionism||Zen||Avant-garde,1905/1/1,1972/2/10,67,20th,,Japan,Osaka,Asia,Japan,Ashiya,Painting,Surrealist||Abstract,,,0,0,https://uploads8.wikiart.org/images/jiro-yoshihara/blue-calligraphic-lines-on-dark-blue-1963.jpg!PinterestSmall.jpg,Art Informel,Abstract,Brushstroke,Blue,Dark,Minimalist,https://www.wikiart.org/en/jiro-yoshihara/blue-calligraphic-lines-on-dark-blue-1963
0588,Graydon Parrish,,Realism,1970/4/3,,,,Pisces,USA,Phoenix,North America,,,Painting,Allegory||Nude,,Booker T. Washington High School for the Performing and Visual Arts||New York Academy of Art||Amherst College,0,0,https://uploads8.wikiart.org/images/graydon-parrish/cycle-of-terror-detail.jpg!PinterestSmall.jpg,Contemporary Realism,Portrait,Human Figure,Warm Tones,Neutral,Centralized,https://www.wikiart.org/en/graydon-parrish/cycle-of-terror-detail
0589,Red Grooms,American,Pop Art,1937/6/7,,,,Gemini,United States,Nashville,North America,,,Multimedia||Animation||Sculpture||Painting,Urban Scene,,Art Institute of Chicago||Nashville's Peabody College||New School for Social Research||Hans Hofmann School of Fine Arts,0,0,https://uploads0.wikiart.org/images/red-grooms/elvis-1987.jpg!PinterestSmall.jpg,Pop Art,Portrait,"Person With A Guitar, Car, House",Yellow,Bright,Central Figure With Background Elements,https://www.wikiart.org/en/red-grooms/elvis-1987
0590,Alfred Otto Wolfgang Schulze,German,Lyrical Abstraction||Tachisme,1913/5/27,1951/9/1,37,20th,Gemini,Germany,Berlin,Europe,France,Paris,Painting||Photography,Portrait||Landscape,,Reiman-Schule,0,0,https://uploads7.wikiart.org/images/wols/la-flamme-1947.jpg!PinterestSmall.jpg,Tachisme,,,,,,https://www.wikiart.org/en/wols/la-flamme-1947
0591,Dan Christensen,American,Lyrical Abstraction||Color field painting||Abstract expressionism,1942/10/6,2007/1/20,64,20th-21st,Libra,America,Cozad,North America,America,Easthampton,Painting,Abstract,Married,Kansas City Art Institute,0,0,https://uploads4.wikiart.org/images/dan-christensen/street-dancer-1986.jpg!PinterestSmall.jpg,Color Field Painting,Abstract Art,Lines And Curves,Blue,Dark,Vertical With Flowing Lines,https://www.wikiart.org/en/dan-christensen/street-dancer-1986
0592,Rainer Fetting,German,Neue Wilde,1949/12/31,,,,,Germany,Wilhelmshaven,Europe,,,Painting||Sculpture,Cityscape||Portrait||Figurative,,Berlin Art Academy,0,0,https://uploads8.wikiart.org/images/rainer-fetting/crackhead-1986.jpg!PinterestSmall.jpg,Neo-Expressionism,Portrait,Head/Face,Green,Dark,Centralized,https://www.wikiart.org/en/rainer-fetting/crackhead-1986
0593,Robert Irwin,American,Light and Space,1928/9/12,2023/10/25,95,20th-21st,Virgo,America,Long Beach,North America,,,Installation||Painting,,,Otis Art Institute||Jepson Art Institute||Chouinard Art Institute,1,3,https://uploads1.wikiart.org/images/robert-irwin/all-that-jazz-2011.jpg!PinterestSmall.jpg,Light and Space,Abstract,Light Tubes,Red And White,Bright,Linear Arrangement,https://www.wikiart.org/en/robert-irwin/all-that-jazz-2011
0594,John Nelson Shanks,American,Realism,1937/12/23,2015/8/28,77,20th-21st,,United States,Rochester,North America,United States,"Andalusia, Pennsylvania",Painting,Portrait,,Kansas City Art Institute||National Academy of Design||Art Students League of New York||Accademia de Belle Arti,1,0,https://uploads7.wikiart.org/images/nelson-shanks/princess-diana.jpg!PinterestSmall.jpg,Contemporary Realism,Portrait,Woman In Formal Attire,Earth Tones,Neutral,Vertical,https://www.wikiart.org/en/nelson-shanks/princess-diana
0595,Jannis Kounellis,Greek||Italian,Arte Povera,1936/3/23,2017/2/16,80,20th-21st,Aries,Greece,Piraeus,Europe,Italy,Rome,Painting||Sculpture||Performance,,,Accademia di Belle Arti,0,0,https://uploads0.wikiart.org/images/jannis-kounellis/untitled-1969.jpg!PinterestSmall.jpg,Post-Minimalism,Still Life,Burlap Sacks,Brown,Neutral,Linear Arrangement,https://www.wikiart.org/en/jannis-kounellis/untitled-1969
0596,Joyce Kozloff,American,Pattern and Decoration||Feminist Art,1942/12/14,,,,Sagittarius,United States,Somerville,North America,,,Painting||Decorative Art,Installation,Married,Art Students League||Rutgers University||University of Florence||Carnegie Institute of Technology||Columbia University,1,0,https://uploads1.wikiart.org/images/joyce-kozloff/boys-art-19-skagerrak-2002.jpg!PinterestSmall.jpg,Cartographic Art,Map Art,"Map, People, Animals",Multicolored,Bright,"Collage-Like, Scattered Elements",https://www.wikiart.org/en/joyce-kozloff/boys-art-19-skagerrak-2002
0597,Lynda Benglis,Greek||American,Minimalism,1941/10/25,,,,Scorpio,United States,Lake Charles,North America,,,Sculpture||Painting||Visual Art,Organic Imagery||Feminist Art,Married,McNeese State University||Newcomb College,1,0,https://uploads8.wikiart.org/images/lynda-benglis/baby-blatt-1969.jpg!PinterestSmall.jpg,Minimalism,Abstract,Fluid Shape,Red,Neutral,Asymmetrical,https://www.wikiart.org/en/lynda-benglis/baby-blatt-1969
0598,Howardena Pindell,American,Minimalism||Pointillism,1943/4/4,,,,Aries,United States,Philadelphia,North America,,,Painting||Mixed Media,Abstract||Collage,,Philadelphia High School for Girls||Boston University||Yale University,1,0,https://uploads2.wikiart.org/00335/images/howardena-pindell/carnival-rio-samba-school-brazil-2018-2019.jpg!PinterestSmall.jpg,Lyrical Abstraction,,,Pink,Neutral,Non-Representational,https://www.wikiart.org/en/howardena-pindell/carnival-rio-samba-school-brazil-2019
0599,Mark Tansey,American,,1949/1/1,,,,,United States,San Jose,North America,,,Painting,Historical,,San Francisco Art Institute||Art Center College of Design||Hunter College,1,0,https://uploads6.wikiart.org/images/mark-tansey/a-short-history-of-modernist-painting-1982.jpg!PinterestSmall.jpg,Contemporary Realism,Narrative,"People, Door, Window, House","Blue, Red",Dark,Triptych,https://www.wikiart.org/en/mark-tansey/a-short-history-of-modernist-painting-1982
0600,Nicola Perscheid,German,,1864/12/3,1930/5/12,66,19th-20th,Pisces,Germany,Moselwei?,Europe,,,Photography,Portrait,,"Photographic Society of Vienna, Danish college for photography",0,0,https://uploads5.wikiart.org/00149/images/nicola-perscheid/heimw-rts.jpg!PinterestSmall.jpg,,Genre Art,Shepherd And Sheep,Sepia,Dark,Central Focal Point,https://www.wikiart.org/en/nicola-perscheid/heimwarts-1901
0601,Luigi Veronesi,Italian,Abstract Art||Constructivism||Movimento Arte Concreta,1908/5/28,1998/2/25,89,20th,Gemini,Italy,Milan,Europe,,,Photography||Painting||Scenography||Film Direction||Graphic Design,Abstract,,Accademia Carrara,0,0,https://uploads0.wikiart.org/images/luigi-veronesi/fotogramma-1997.jpg!PinterestSmall.jpg,Concretism,Still Life,"Button, Needles, Thread",Black And White,Neutral,Geometric Arrangement,https://www.wikiart.org/en/luigi-veronesi/fotogramma-1997
0602,Lili Ilse Elvenes||Einar Magnus Andreas Wegener,Danish,,1882/12/28,1931/9/13,48,19th-20th,,Denmark,Vejle,Europe,,,Painting,Landscape,,Royal Danish Academy of Fine Arts,0,0,https://uploads1.wikiart.org/00333/images/lili-elbe/road-crucifix-on-the-bridge-over-the-river-loire-in-beaugency-france-ca-1924.jpg!PinterestSmall.jpg,Post-Impressionism,Landscape,"Cross, River",Blue,Bright,Central Focus,https://www.wikiart.org/en/lili-elbe/road-crucifix-on-the-bridge-over-the-river-loire-in-beaugency-france-1924
